,Date,User,Tweet,Reply,Retweet,Like,,,,,,
21,2018/12/25 00:00,CharlieDaniels,"JOY TO THE WORLD THE LORD HAS COME!!
From our house, from Hazel, Charlie Jr and me, from all the band, crew amd office staff at the CDB, from the cowboys at Twin Pines Ranch, let us take this opportunity to wish one and all a most Merry and joyous Christmas.",414,619,5315,2018/1/22,2,,,2018/1/22,2
22,2018/12/25 00:00,amd__silva,https://t.co/HKA4tQIpB2,0,19,239,2018/1/23,1,,,2018/1/23,1
23,2018/12/24 00:00,spcatsTASHA,?¥Î?Ï£?#?§Ïù¥Î≤?#?¨Ïä§????#AMD !! #ahri #spiralcats #?§Ì??¥Îü¥Ï∫?? #?Ä??#lol #leagueoflegends #Î°?#Î¶¨Í∑∏?§Î??àÏ???#ÏΩîÏä§?ÑÎ? #lolcosplay #game #cosplay https://t.co/RdlhI5JjuE https://t.co/TIdDxa9By8,7,33,292,2018/1/24,4,,,2018/1/24,4
24,2018/12/24 00:00,ASUS_ROG,"[GIVEAWAY]?????? 
Just stop the GIF and post your screenshot with the hashtag #ROGmas to win!

Did you get a new AMD motherboard? A cookie? Try your luck!
Thanks to @CoolerMaster and @gskillgaming for teaming up with ROG this holiday season. Winners will be announced after Xmas! https://t.co/l00i3LrDy2",3090,601,1917,2018/1/25,0,,,2018/1/25,0
25,2018/12/24 00:00,teamspeak,"?? #Xmas #Giveaway - Day 12 ??

??Like this post &amp; tell us in the comments:
??What ist your #gaming highlight 2018 + why?

Among all entrants (TWIT, FB, IG) we're giving away our big main prize: the Metis #AMD ITX #MiniPC from @kiebel_de!

Entry deadline is 06.01.19, 6pm CET https://t.co/Ie51PdERva",574,166,729,2018/1/26,3,,,2018/1/26,3
26,2018/12/24 00:00,EzekiahFR,"#CONCOURS ! Sp√©cial NO?L ?§∂ 

?? Gagne un PC Gamer AMD A-Series 9600 ! ??
??Pour participer : 
??RT + Follow @EzekiahMC
??Mentionne 2 Amis ! 

 ??Code Cr√©ateur Fortnite : TwitterEzekiah ?î•

??Tirage au sort aux 3000 Soutiens dans le shop Fortnite avec mon code https://t.co/T9EyotiYUZ",1897,2418,1123,2018/1/27,2,,,2018/1/27,2
27,2018/12/23 00:00,DanteGTX3,"Sorteo PC GAMING con Ryzen 5 2600 + RX 580!
Para participar haz RT, comenta con los hashtag #POWEREDBYMSI #RYZENPC y sigue a:
- @MSI_ES 
- @AMDGaming 
- @AMD 
- @DanteGTX3 
Finalizar√° y se anunciar√° al ganador/a el 30/12/2018
SORTEO: https://t.co/y9K4WkkqQt https://t.co/nVvyNxxWFI",2223,5784,2767,2018/1/28,3,,,2018/1/28,3
28,2018/12/23 00:00,VectorThaViper,"The barracks I grew up in is right over my left shoulder. Going to lagos island every year to perform with the people I grew up with amd around is both a lifting and humbling experience. 
#Lafiaji https://t.co/uMfWL06Qik",9,40,158,2018/1/29,0,,,2018/1/29,0
29,2018/12/23 00:00,Skullspliter1,This is us !!! Amd we are The @Titans ?îÔ??îÔ??îÔ??îÔ??îÔ??îÔ??á≤?áΩ?á≤?áΩ?á≤?áΩ?á≤?áΩ@TitansFamilyMex #TitanUp https://t.co/qzoeQhJLzl,7,46,379,2018/1/30,0,,,2018/1/30,0
30,2018/12/23 00:00,royzkingin,I?ôll lose my preek amd my left ball before i beg any lady to be in a relationship with me. Tahh!,14,53,168,2018/1/31,2,,,2018/1/31,2
31,2018/12/23 00:00,PrincessBravato,"You didnt win,
You stole the election had Russia's help amd are still on ur knees in front of Putin.
You have zero experience on our military and pulling out like this means people will be killed and our troops abandoned a mission....something they don't like
#TrumpResign",18,181,320,2018/2/1,0,,,2018/2/1,0
32,2018/12/23 00:00,Darkseidisnt,MARTIALLL GOAL AMD POGBA ASSIST MY DICK IS OUTTTTT,3,55,117,2018/2/2,0,,,2018/2/2,0
33,2018/12/22 00:00,AMD_barra,4 years today I was working in Intensive Care at the Royal Infirmary when the call came in about a bin lorry going off the road and into the crowds at George Square ?? I'll never ever forget that day nor indeed that shift.,9,8,354,2018/2/3,2,,,2018/2/3,2
34,2018/12/21 00:00,imjaebeomee,OMG we can hear WOLO amd One and Only You playing inside BITEC now. ?ò≠?ò≠?ò≠ #NESTIVAL2018,9,1178,1043,2018/2/4,4,,,2018/2/4,4
