,predicted_mean
2019-02-07,24.021129184374217
2019-02-08,23.965190832505186
2019-02-11,23.804844447163248
2019-02-12,23.662172960929013
2019-02-13,23.580232571840554
2019-02-14,23.51418337644526
2019-02-15,23.530175091587125
2019-02-19,23.56011507490274
2019-02-20,23.60034419891275
2019-02-21,23.674573052046128
2019-02-22,23.848059865306197
2019-02-25,24.008530251559307
2019-02-26,24.083447346436344
2019-02-27,24.171519543895556
2019-02-28,24.28662393999008
2019-03-01,24.341275323822458
2019-03-04,24.268447901105276
2019-03-05,24.072299737895378
2019-03-06,23.954429167628575
2019-03-07,23.921453730055475
2019-03-08,23.848337216456628
2019-03-11,23.688226359472594
2019-03-12,23.52724382744435
2019-03-13,23.34210973333262
2019-03-14,23.298395376612177
2019-03-15,23.42362969329622
2019-03-18,23.62956438995701
2019-03-19,23.696008333815087
2019-03-20,23.7032957719793
2019-03-21,23.840525892786047
2019-03-22,24.319734384472383
2019-03-25,25.066346071833493
2019-03-26,25.876774938188817
2019-03-27,26.146261936157828
2019-03-28,26.124553705637652
2019-03-29,25.75506033967571
2019-04-01,25.471479794358913
2019-04-02,25.354365703023575
2019-04-03,25.31704583116027
2019-04-04,25.746890220469254
2019-04-05,26.472496593717892
2019-04-08,27.421926812830066
2019-04-09,28.122911301012607
2019-04-10,28.553139065919737
2019-04-11,28.357755085839926
2019-04-12,28.122225994201756
2019-04-15,27.82382110326779
2019-04-16,27.68609644628276
2019-04-17,27.728073322780403
2019-04-18,27.707682877091372
2019-04-22,27.632147978858086
2019-04-23,27.61424782365731
2019-04-24,27.71867420046027
2019-04-25,27.78397645545573
2019-04-26,27.90353314462118
2019-04-29,28.02522499740502
2019-04-30,28.011442552934966
2019-05-01,27.923811329130274
2019-05-02,27.81989856556885
2019-05-03,27.875552228955428
2019-05-06,27.937284138189
2019-05-07,27.9719633042576
2019-05-08,27.85005500017911
2019-05-09,27.639924817068163
2019-05-10,27.356940796844754
2019-05-13,27.130256125225856
2019-05-14,27.06650131355383
2019-05-15,27.107103174030556
2019-05-16,27.101654471271047
2019-05-17,27.1472427825899
2019-05-20,27.0793548517899
2019-05-21,27.265780316337498
2019-05-22,27.25674365821925
2019-05-23,27.20475499217764
2019-05-24,26.994535293616025
2019-05-28,26.789870689128236
2019-05-29,26.91995351481239
2019-05-30,27.125689369775387
2019-05-31,27.380908925627693
2019-06-03,27.77925268109999
2019-06-04,28.10382543295708
2019-06-05,28.021651716710323
2019-06-06,28.254781500777312
2019-06-07,28.805973621998305
2019-06-10,29.687865901047928
2019-06-11,30.80461884078852
2019-06-12,31.82048254806064
2019-06-13,32.59472552721665
2019-06-14,32.9115822490028
2019-06-17,32.73156860375924
2019-06-18,32.01582562251443
2019-06-19,31.463083489903795
2019-06-20,31.064881711806123
2019-06-21,30.73377359831707
2019-06-24,30.593885528985368
2019-06-25,30.54603731940375
2019-06-26,30.21184899393188
2019-06-27,29.95660815981671
2019-06-28,29.802480897096586
2019-07-01,29.99666595712401
2019-07-02,30.43000768574126
2019-07-03,30.899443584907544
2019-07-05,31.110920168444522
2019-07-08,31.17964675629463
2019-07-09,31.496967839481115
2019-07-10,31.796713260975494
2019-07-11,32.19717493733593
2019-07-12,32.76660803283012
2019-07-15,33.22571085902653
2019-07-16,33.651608451582575
2019-07-17,34.064546802463106
2019-07-18,34.123762373679746
2019-07-19,34.212146121135355
2019-07-22,34.170537395271914
2019-07-23,33.83665046217743
2019-07-24,33.578033538165656
2019-07-25,33.48373162481152
2019-07-26,33.61070961259226
